customer_id,amount_requested,birth_date,status,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,payment_amount_approved,address_zip,email,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,home_phone_type,other_phone_type,how_use_money,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,loan performance
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
9ece67d6c5,500,8/21/1991 00:00,Approved,TRUE,0,TRUE,10/16/2010 14:06,3,TRUE,6,138.48,500,3,None,84118,WanitaGVinyard@gmail.com,124001545,1 year or more,6 months or less,6 months or less,Semi-monthly,Mobile,None,Other,1560,614,574,600,656,561,1
5c2c402094,500,7/24/1990 00:00,Approved,TRUE,0,FALSE,10/17/2010 13:01,6,TRUE,13,77.39,500,6,None,84062,NatashaTTucker@yahoo.com,124000054,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,None,Other,900,708,501,550,651,563,-1
e6254cad30,400,9/13/1980 00:00,Approved,TRUE,620,TRUE,10/17/2010 19:52,6,TRUE,13,61.91,400,6,None,84119,AnneDCisneros@hotmail.com,124001545,1 year or more,7-12 months,1-2 years,Bi-weekly,Mobile,None,Other,1434,687,522,561,661,598,1
49fb42f51d,500,9/10/1976 00:00,Approved,FALSE,785,FALSE,10/18/2010 07:05,4,TRUE,8,108.48,500,4,None,84405,CatalinaRRoderick@hotmail.com,124002971,1 year or more,3+ years,7-12 months,Bi-weekly,Mobile,None,Other,1600,616,560,552,634,591,-1
195fbe5739,300,12/1/1979 00:00,Approved,TRUE,700,TRUE,10/19/2010 10:58,4,TRUE,8,65.09,300,4,None,84404,PhillipMSinn@aol.com,124002971,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Home,Other,1360,681,603,654,659,636,1
b5286ff5b4,400,5/23/1977 00:00,Approved,FALSE,1600,TRUE,10/21/2010 21:21,4,TRUE,4,107.61,400,4,None,84020,BeckyRFleischer@aol.com,324079500,1 year or more,1-2 years,1-2 years,Monthly,Mobile,None,Other,4900,716,573,571,680,620,-1
d06841c8cf,300,1/6/1960 00:00,Approved,TRUE,865,TRUE,10/23/2010 19:52,4,TRUE,4,136.6,300,4,None,84404,DorisTGowen@hotmail.com,324377516,1 year or more,3+ years,1-2 years,Monthly,Mobile,None,Other,3200,486,580,627,659,627,2
90e4cdc381,500,10/17/1959 00:00,Approved,TRUE,1000,TRUE,10/24/2010 16:05,2,TRUE,4,129.35,500,2,None,84020,CarolynCSmith@aol.com,124000054,1 year or more,6 months or less,6 months or less,Bi-weekly,Mobile,None,Other,2200,530,537,508,551,583,-1
c1a1065b7a,400,4/20/1961 00:00,Approved,TRUE,169,TRUE,10/26/2010 11:22,4,TRUE,4,182.14,400,4,164.04,84116,MarieCMurr@aol.com,324079555,1 year or more,3+ years,1-2 years,Monthly,Home,Mobile,Other,1200,645,532,560,680,594,-1
